Gr Lat, W Lon, Az (W from N)
-73.425977,166.01061,61.734398
-73.397963,166.17802,59.207396
-73.37101,166.347,64.248101
-73.351651,166.52922,64.045051
-73.324349,166.69721,67.903481
-73.311964,166.88726,75.179432
-73.297476,167.07384,73.971577
-73.28284,167.26165,69.898527
-73.261151,167.4374,59.973126
-73.229672,167.59464,60.255224
-73.208072,167.77302,57.438124
-73.172437,167.9175,51.600702
-73.141241,168.07491,51.774544
-73.106564,168.2165,48.723422
-73.071306,168.35862,51.331381
-73.039574,168.51442,55.327955
-73.010519,168.67161,59.989474
-72.986678,168.84099,62.58251
-72.96135,169.00979,59.463512
-72.932384,169.16817,55.335444
-72.900347,169.32203,50.06547
-72.863175,169.45945,50.522182
-72.831733,169.61489,46.871253
-72.790403,169.73174,43.196325
-72.753885,169.86989,48.150319
-72.718304,170.01271,54.843181
-72.69193,170.17733,61.098771
-72.666217,170.3432,59.218665
-72.636733,170.50106,61.538785
-72.615317,170.67112,65.371009
-72.592238,170.84047,68.838279
-72.576635,171.0211,75.046109
-72.564722,171.20383,78.564962
-72.555835,171.38624,76.791657
-72.540696,171.56535,67.799991
-72.515437,171.73141,60.584819
-72.487609,171.89159,58.281854
-72.458686,172.04868,47.681513
-72.415773,172.16264,43.992524
-72.381217,172.30453,53.980263
-72.352362,172.46157,58.376585
-72.324819,172.61857,65.187467
-72.307544,172.79453,69.839948
-72.287725,172.96642,69.153405
-72.269273,173.13989,69.512515
-72.250158,173.31159,73.320049
-72.238611,173.49191,76.754382
-72.225606,173.67165,73.23799
-72.20773,173.84394,69.869114
-72.188911,174.01395,70.00521
-72.17115,174.18725,66.438699
-72.145846,174.35009,63.545855
-72.122896,174.51638,63.122954
-72.096947,174.67704,55.907904
-72.062396,174.81811,54.66582
-72.03436,174.97432,58.12642
-72.005104,175.12821,50.803311
-71.966162,175.25483,49.56048
-71.934932,175.40362,57.736429
-71.908264,175.56173,52.348082
-71.869224,175.68787,39.221636
-71.824249,175.7895,27.798257
-71.773447,175.8548,29.975445
-71.73149,175.96579,46.371759
-71.699095,176.11221,55.740564
-71.670036,176.26368,59.606244
-71.644246,176.42071,50.676367
-71.602424,176.53519,33.169375
-71.553489,176.61485,25.668918
-71.503998,176.6893,24.700154
-71.454391,176.76292,27.262436
-71.407314,176.85081,29.209825
-71.35985,176.93399,15.214666
-71.30507,176.94038,6.7553675
-71.251542,176.97462,0.90333
-71.198462,176.94528,343.13826
-71.149554,176.87493,341.889
-71.096116,176.83745,354.78346
-71.041605,176.84264,1.8281033
-75.159608,38.502126,186.34225
-75.214547,38.473961,183.92013
-75.269719,38.46417,180.56586
-75.324936,38.461291,183.54546
-75.379576,38.428699,189.30041
-75.433974,38.381972,187.05001
-75.489163,38.366326,177.63451
-75.543897,38.391893,174.83707
-75.598053,38.397533,186.82078
-75.651692,38.331226,198.71284
-75.703783,38.24478,196.4344
-75.757701,38.196395,185.02346
-75.813289,38.197064,175.84555
-75.867872,38.220696,176.69853
-75.923013,38.214377,181.49825
-75.978215,38.19996,178.12155
-76.03297,38.220722,180.25703
-76.087099,38.188996,192.5595
-76.140444,38.112116,194.9289
-76.193823,38.061545,182.2904
-76.248316,38.085476,172.23675
-76.303188,38.115969,173.43211
-76.358037,38.130263,173.69411
-76.412517,38.158718,173.10482
-76.46724,38.177932,178.82991
-76.52207,38.159123,187.65592
-76.57607,38.105729,181.50649
-76.630205,38.13811,172.26026
-76.684816,38.161085,178.39312
-76.739981,38.142163,181.42945
-76.795141,38.139746,179.95446
-76.850193,38.133171,183.64805
-76.905013,38.0993,189.55805
-76.959205,38.042436,188.94783
-77.013764,38.013893,181.57739
-77.068911,38.019575,178.71916
-77.124033,38.015387,183.12549
-77.178891,37.982767,185.10714
-77.233725,37.961427,180.32974
-77.288731,37.970364,180.40231
-77.343809,37.948041,183.66048
-77.398792,37.928294,178.7207
-77.453463,37.949766,175.17236
-77.508278,37.961403,179.72091
-77.5634,37.942248,185.7179
-77.618146,37.900034,190.26777
-77.672235,37.84001,188.74059
-77.727057,37.811485,184.61845
-77.781944,37.788066,190.30362
-77.835432,37.707814,193.01164
-77.889359,37.660146,181.85518
-77.944179,37.681143,171.4146
-77.997999,37.729533,183.98587
-78.049792,37.635037,207.53363
-78.094681,37.477342,218.44626
-78.136516,37.295435,216.49343
-78.184071,37.149273,215.41919
-78.227594,36.972007,217.26129
-78.273364,36.809866,203.59598
-78.32669,36.749931,193.66791
-78.379613,36.671379,200.59918
-78.429922,36.546817,204.61463
-78.480709,36.430632,201.43439
-78.533051,36.3338,196.0282
-78.586859,36.266457,190.52182
-78.641457,36.22098,188.47498
-78.696128,36.172525,190.2972
-78.750297,36.108697,198.69677
-78.800373,35.980469,190.75697
-78.854035,35.996975,167.85887
-78.905925,36.089533,157.74741
-78.955514,36.206679,152.43031
-79.002328,36.348045,146.12709
-79.045392,36.521333,143.79879
-79.089807,36.684202,152.35121
-79.140861,36.780785,163.10342
-79.194205,36.844237,164.8011
-79.246306,36.92501,169.03563
-79.301104,36.945276,179.28761
-79.355737,36.920747,179.18937
-79.409561,36.942505,166.10224
-79.460104,37.052657,154.7897
-79.50808,37.190405,153.61985
-79.556143,37.308782,168.75893
-79.612525,37.294519,193.69617
-79.66136,37.153996,199.35284
-79.715373,37.081968,194.25367
-79.768418,36.989254,191.91503
-79.823086,36.941796,191.80692
-79.876173,36.848999,185.15094
-79.930295,36.875168,173.81735
-79.984799,36.905034,180.09613
-80.039199,36.86154,178.42994
-80.092495,36.910667,176.53713
-80.147685,36.887451,179.31136
